workclass,education-num,marital-status,sex,hours-per-week,native-country,decision
 Private,13, Married-civ-spouse, Male,40, United-States, <=50K
 Private,9, Never-married, Male,40, United-States, <=50K
 Private,9, Never-married, Male,45, United-States, <=50K
 Private,13, Never-married, Male,50, United-States, >50K
 Private,9, Married-civ-spouse, Male,45, United-States, >50K
 Local-gov,13, Married-civ-spouse, Male,55, United-States, >50K
 Private,13, Married-civ-spouse, Male,43, United-States, >50K
 Private,13, Never-married, Male,24, United-States, <=50K
 Private,7, Never-married, Male,40, Philippines, <=50K
 Local-gov,11, Separated, Female,35, United-States, <=50K
 Self-emp-inc,9, Married-civ-spouse, Male,40, United-States, >50K
 Private,7, Never-married, Male,40, United-States, <=50K
 Private,4, Divorced, Male,75, United-States, <=50K
 Private,9, Divorced, Female,40, United-States, <=50K
 Local-gov,11, Married-civ-spouse, Male,48, United-States, >50K
 Private,9, Married-civ-spouse, Female,38, United-States, >50K
 State-gov,16, Married-civ-spouse, Male,50, United-States, >50K
 Private,10, Never-married, Male,25, United-States, <=50K
 Private,14, Never-married, Male,50, United-States, >50K
 Private,10, Divorced, Female,40, United-States, <=50K
 Private,9, Never-married, Female,25, United-States, <=50K
 Private,13, Never-married, Female,40, Poland, <=50K
 Private,9, Never-married, Male,45, United-States, <=50K
 Private,9, Married-civ-spouse, Male,25, Ireland, <=50K
 Self-emp-inc,10, Married-civ-spouse, Male,50, United-States, >50K
 Private,10, Never-married, Male,60, United-States, <=50K
 Private,9, Divorced, Female,36, United-States, <=50K
 ?,3, Married-civ-spouse, Male,40, United-States, <=50K
 Private,12, Married-civ-spouse, Female,46, United-States, >50K
 Self-emp-not-inc,13, Married-civ-spouse, Male,40, United-States, >50K
 Private,10, Married-spouse-absent, Female,40, United-States, <=50K
 Local-gov,10, Divorced, Female,40, United-States, <=50K
 Private,10, Married-civ-spouse, Male,50, United-States, >50K
 Private,10, Married-civ-spouse, Male,40, India, <=50K
 Private,9, Separated, Female,40, United-States, <=50K
 Private,9, Married-civ-spouse, Male,40, United-States, <=50K
 ?,14, Married-civ-spouse, Female,1, United-States, <=50K
 Private,9, Never-married, Male,40, United-States, <=50K
 Private,14, Married-civ-spouse, Male,50, United-States, >50K
 State-gov,10, Divorced, Male,20, United-States, <=50K
 Private,3, Married-spouse-absent, Male,40, Puerto-Rico, <=50K
 Private,10, Never-married, Female,30, United-States, <=50K
 Private,13, Never-married, Male,40, United-States, <=50K
 Private,14, Married-civ-spouse, Male,60, United-States, >50K
 Private,8, Married-civ-spouse, Male,40, United-States, <=50K
 Private,9, Married-civ-spouse, Male,30, United-States, <=50K
 Self-emp-not-inc,7, Married-civ-spouse, Male,15, United-States, <=50K
 Private,9, Married-civ-spouse, Male,50, United-States, >50K
 Private,6, Divorced, Female,38, United-States, <=50K
 Private,10, Divorced, Female,34, United-States, <=50K
 Federal-gov,10, Divorced, Male,40, United-States, <=50K
 Private,9, Never-married, Male,38, ?, <=50K
 State-gov,14, Divorced, Male,50, United-States, <=50K
 Self-emp-not-inc,13, Married-civ-spouse, Male,50, United-States, >50K
 Private,9, Never-married, Male,48, United-States, <=50K
 Private,10, Never-married, Female,39, United-States, >50K
 ?,9, Married-civ-spouse, Male,40, United-States, <=50K
 Private,11, Married-civ-spouse, Male,40, United-States, <=50K
 Private,13, Never-married, Male,40, United-States, <=50K
 Private,10, Never-married, Male,33, United-States, <=50K
 Private,9, Never-married, Female,27, United-States, <=50K
 Private,10, Married-civ-spouse, Male,41, United-States, >50K
 Private,12, Married-civ-spouse, Female,40, United-States, >50K
 State-gov,13, Never-married, Male,40, United-States, <=50K
 Private,9, Married-civ-spouse, Male,40, United-States, >50K
 Private,4, Never-married, Male,32, United-States, <=50K
 Private,5, Married-civ-spouse, Female,40, United-States, <=50K
 Local-gov,9, Divorced, Male,40, ?, >50K
 Private,9, Separated, Male,35, Puerto-Rico, <=50K
 Private,2, Divorced, Male,40, United-States, <=50K
 Private,9, Married-civ-spouse, Male,50, United-States, >50K
 Private,13, Never-married, Female,40, United-States, <=50K
 Private,16, Never-married, Male,40, United-States, >50K
 Private,9, Married-civ-spouse, Male,50, United-States, >50K
 Private,13, Never-married, Male,50, United-States, <=50K
 Private,10, Married-civ-spouse, Male,16, United-States, <=50K
 Private,10, Never-married, Male,50, United-States, >50K
 Private,14, Married-civ-spouse, Male,40, United-States, <=50K
 Private,10, Divorced, Female,44, United-States, >50K
 State-gov,13, Divorced, Female,40, United-States, <=50K
 Private,6, Never-married, Female,30, United-States, <=50K
 Private,10, Never-married, Male,44, United-States, <=50K
 Private,14, Married-spouse-absent, Female,40, United-States, <=50K
 ?,13, Married-civ-spouse, Male,10, United-States, <=50K
 Private,13, Married-civ-spouse, Male,35, United-States, <=50K
 Private,5, Married-civ-spouse, Male,40, United-States, <=50K
 Private,16, Married-civ-spouse, Male,80, United-States, >50K
 Private,13, Divorced, Female,30, ?, <=50K
 Private,9, Never-married, Male,40, United-States, <=50K
 Private,14, Married-civ-spouse, Male,60, United-States, >50K
 State-gov,10, Widowed, Female,38, United-States, <=50K
 ?,10, Married-civ-spouse, Male,30, United-States, <=50K
 Private,9, Married-civ-spouse, Female,40, United-States, >50K
 Private,9, Never-married, Female,40, United-States, <=50K
 Private,7, Married-civ-spouse, Male,40, United-States, <=50K
 Private,13, Divorced, Male,40, United-States, <=50K
 Private,9, Never-married, Female,35, United-States, <=50K
 Private,9, Separated, Female,37, United-States, <=50K
 Private,11, Married-civ-spouse, Male,40, United-States, >50K
 Private,10, Divorced, Female,60, United-States, <=50K
 Local-gov,10, Married-civ-spouse, Male,56, United-States, >50K
 Private,13, Never-married, Male,20, United-States, <=50K
 Private,7, Married-civ-spouse, Male,40, Philippines, <=50K
 Private,9, Never-married, Male,40, United-States, <=50K
 Private,4, Married-civ-spouse, Male,48, United-States, <=50K
 Private,9, Married-civ-spouse, Male,45, United-States, <=50K
 Private,9, Married-civ-spouse, Male,40, United-States, >50K
 Self-emp-not-inc,15, Married-civ-spouse, Male,50, United-States, >50K
 Self-emp-not-inc,9, Divorced, Female,40, United-States, <=50K
 Self-emp-not-inc,13, Married-civ-spouse, Male,50, Germany, <=50K
 Private,10, Never-married, Male,50, United-States, <=50K
 Local-gov,14, Married-civ-spouse, Male,35, United-States, <=50K
 Self-emp-not-inc,15, Married-civ-spouse, Male,30, United-States, >50K
 Federal-gov,16, Married-civ-spouse, Male,72, ?, >50K
 Private,10, Married-civ-spouse, Male,46, United-States, >50K
 Private,9, Married-civ-spouse, Male,40, United-States, >50K
 State-gov,10, Married-civ-spouse, Male,40, United-States, >50K
 Self-emp-not-inc,15, Never-married, Male,45, United-States, >50K
 Private,11, Married-civ-spouse, Male,40, United-States, <=50K
 State-gov,10, Never-married, Female,40, United-States, <=50K
 Private,3, Never-married, Male,50, Guatemala, <=50K
 Private,13, Married-civ-spouse, Male,45, United-States, >50K
 Self-emp-inc,10, Married-civ-spouse, Male,65, United-States, <=50K
 Private,11, Divorced, Female,30, United-States, <=50K
 ?,13, Never-married, Female,40, Germany, <=50K
 Private,9, Divorced, Male,40, United-States, <=50K
 Private,12, Never-married, Female,40, United-States, <=50K
 Private,9, Never-married, Female,40, United-States, <=50K
 Private,10, Never-married, Male,12, United-States, <=50K
 Private,9, Married-civ-spouse, Female,40, United-States, <=50K
 Private,9, Separated, Male,40, United-States, <=50K
 Private,14, Divorced, Male,48, United-States, >50K
 Local-gov,15, Married-civ-spouse, Male,40, United-States, >50K
 Private,11, Divorced, Female,45, United-States, <=50K
 Private,10, Never-married, Male,44, United-States, <=50K
 Self-emp-not-inc,13, Married-civ-spouse, Male,60, United-States, <=50K
 Private,10, Never-married, Female,10, United-States, <=50K
 Self-emp-not-inc,9, Married-civ-spouse, Male,60, United-States, <=50K
 Private,2, Married-civ-spouse, Male,40, Portugal, <=50K
 Private,10, Never-married, Male,25, United-States, <=50K
 Private,9, Married-civ-spouse, Male,45, United-States, <=50K
 Private,7, Married-civ-spouse, Male,40, United-States, <=50K
 Private,9, Married-civ-spouse, Male,40, United-States, <=50K
 Private,5, Never-married, Male,40, Mexico, <=50K
 Private,10, Married-civ-spouse, Male,55, Mexico, <=50K
 Private,2, Never-married, Male,40, Puerto-Rico, <=50K
 Private,9, Separated, Female,40, United-States, <=50K
 Self-emp-not-inc,4, Married-civ-spouse, Male,40, United-States, <=50K
 Private,13, Never-married, Male,50, United-States, <=50K
 Private,10, Married-civ-spouse, Male,48, United-States, <=50K
 Private,5, Never-married, Female,32, United-States, <=50K
 Self-emp-not-inc,13, Married-civ-spouse, Male,40, United-States, >50K
 Private,10, Married-civ-spouse, Male,60, United-States, >50K
 Private,9, Married-civ-spouse, Male,40, United-States, <=50K
 Private,9, Divorced, Female,40, United-States, >50K
 Private,5, Married-civ-spouse, Male,37, United-States, <=50K
 Private,5, Married-civ-spouse, Male,50, United-States, <=50K
 ?,10, Married-civ-spouse, Female,25, United-States, <=50K
 Private,13, Married-civ-spouse, Male,45, Canada, >50K
 Private,9, Married-civ-spouse, Male,40, United-States, >50K
 Private,11, Married-civ-spouse, Male,55, United-States, >50K
 Self-emp-not-inc,14, Married-civ-spouse, Male,40, United-States, >50K
 Private,10, Never-married, Female,40, United-States, <=50K
 Private,11, Divorced, Female,36, United-States, <=50K
 Private,10, Never-married, Female,40, United-States, <=50K
 Private,9, Married-civ-spouse, Male,40, United-States, <=50K
 Private,10, Married-civ-spouse, Male,40, United-States, <=50K
 Private,9, Never-married, Female,30, United-States, <=50K
 Private,16, Married-civ-spouse, Male,50, United-States, >50K
 Local-gov,9, Married-civ-spouse, Female,22, United-States, <=50K
 ?,10, Married-civ-spouse, Female,1, United-States, <=50K
 Private,10, Married-civ-spouse, Male,40, United-States, >50K
 Federal-gov,10, Never-married, Female,40, United-States, <=50K
 Private,12, Married-civ-spouse, Male,50, United-States, <=50K
 Private,10, Never-married, Female,40, United-States, <=50K
 Private,14, Married-civ-spouse, Male,40, Philippines, >50K
 Private,9, Divorced, Female,40, United-States, <=50K
 Self-emp-inc,10, Married-civ-spouse, Male,40, United-States, <=50K
 Local-gov,12, Widowed, Female,40, United-States, <=50K
 Private,10, Divorced, Female,40, United-States, <=50K
 Private,9, Married-civ-spouse, Male,40, United-States, <=50K
 Private,10, Married-civ-spouse, Male,40, United-States, <=50K
 Private,10, Never-married, Female,20, United-States, <=50K
 Private,10, Never-married, Male,40, United-States, <=50K
 Private,10, Divorced, Female,15, United-States, <=50K
 Private,12, Never-married, Female,20, United-States, <=50K
 Private,11, Never-married, Female,40, United-States, <=50K
 Federal-gov,10, Never-married, Female,40, United-States, <=50K
 Private,13, Married-civ-spouse, Female,40, United-States, <=50K
 Private,10, Never-married, Female,45, United-States, <=50K
 Private,6, Married-civ-spouse, Male,42, China, <=50K
 State-gov,9, Divorced, Female,40, England, <=50K
 ?,10, Divorced, Female,40, United-States, <=50K
 Private,4, Divorced, Female,40, United-States, <=50K
 Private,9, Married-civ-spouse, Male,40, United-States, <=50K
 Private,9, Married-civ-spouse, Male,40, United-States, >50K
 Self-emp-inc,9, Married-civ-spouse, Male,55, United-States, >50K
 Local-gov,9, Married-civ-spouse, Male,40, United-States, >50K
 Private,9, Married-civ-spouse, Male,40, United-States, >50K
 Private,13, Married-civ-spouse, Male,40, United-States, <=50K
 Federal-gov,13, Married-civ-spouse, Male,45, Germany, >50K
 Private,10, Never-married, Male,40, United-States, <=50K
 Self-emp-inc,11, Married-civ-spouse, Male,60, United-States, >50K
 Private,9, Never-married, Male,20, United-States, <=50K
 Private,6, Divorced, Female,40, United-States, <=50K
 Private,9, Never-married, Male,40, United-States, <=50K
 Private,12, Divorced, Female,45, United-States, <=50K
 ?,10, Divorced, Male,40, United-States, <=50K
 Self-emp-not-inc,10, Never-married, Male,35, United-States, <=50K
 Private,10, Never-married, Female,10, United-States, <=50K
 Private,9, Married-civ-spouse, Male,50, United-States, <=50K
 Private,8, Never-married, Male,18, United-States, <=50K
 ?,6, Married-civ-spouse, Male,1, United-States, <=50K
 Private,10, Divorced, Female,40, United-States, <=50K
 Private,5, Married-civ-spouse, Male,40, Mexico, <=50K
 Private,11, Married-civ-spouse, Female,43, United-States, <=50K
 Private,9, Divorced, Male,20, Haiti, <=50K
 Private,11, Married-civ-spouse, Male,40, United-States, >50K
 Private,10, Separated, Male,45, United-States, <=50K
 Self-emp-not-inc,10, Married-civ-spouse, Male,60, United-States, <=50K
 Private,9, Married-civ-spouse, Male,45, United-States, <=50K
 Private,14, Married-civ-spouse, Male,40, United-States, >50K
 Private,10, Never-married, Male,48, United-States, <=50K
 Private,10, Widowed, Female,45, United-States, <=50K
 Self-emp-not-inc,10, Married-civ-spouse, Male,60, United-States, <=50K
 Private,12, Married-civ-spouse, Male,40, United-States, >50K
 Private,14, Married-civ-spouse, Female,50, United-States, >50K
 Self-emp-not-inc,9, Married-civ-spouse, Male,70, ?, <=50K
 Self-emp-inc,10, Married-civ-spouse, Male,40, United-States, <=50K
 Self-emp-not-inc,6, Divorced, Male,70, United-States, <=50K
 Private,9, Never-married, Male,40, United-States, <=50K
 Private,10, Married-civ-spouse, Male,40, United-States, <=50K
 Private,6, Never-married, Female,12, United-States, <=50K
 Private,8, Never-married, Male,16, United-States, <=50K
 Private,9, Widowed, Female,40, United-States, <=50K
 Private,13, Married-civ-spouse, Male,35, United-States, >50K
 ?,14, Widowed, Female,15, United-States, <=50K
 Private,10, Never-married, Female,40, United-States, <=50K
 Private,2, Married-civ-spouse, Male,38, Cuba, <=50K
 Self-emp-not-inc,9, Divorced, Male,55, United-States, <=50K
 Private,14, Married-civ-spouse, Male,38, United-States, >50K
 Private,13, Divorced, Male,40, United-States, <=50K
 Private,10, Never-married, Female,30, United-States, <=50K
 Private,13, Married-civ-spouse, Male,60, Greece, >50K
 Private,10, Never-married, Female,24, United-States, <=50K
 Private,14, Married-spouse-absent, Male,60, ?, <=50K
 Private,2, Never-married, Female,40, Guatemala, <=50K
 Private,6, Never-married, Male,6, United-States, <=50K
 Private,9, Never-married, Male,40, United-States, <=50K
 Private,10, Married-civ-spouse, Male,50, United-States, <=50K
 Private,9, Never-married, Female,36, United-States, <=50K
 Private,9, Divorced, Male,40, United-States, <=50K
 Self-emp-not-inc,13, Married-civ-spouse, Male,8, United-States, >50K
 Private,10, Never-married, Male,24, United-States, <=50K
 Private,6, Never-married, Male,11, United-States, <=50K
 Private,9, Never-married, Male,40, United-States, <=50K
 Private,10, Never-married, Male,25, United-States, <=50K
 ?,10, Separated, Female,20, United-States, <=50K
 Private,10, Married-civ-spouse, Male,40, ?, <=50K
 Self-emp-not-inc,9, Married-civ-spouse, Male,40, United-States, <=50K
 Private,10, Married-civ-spouse, Male,40, United-States, <=50K
 Private,12, Married-civ-spouse, Male,40, United-States, >50K
 Private,6, Never-married, Male,40, United-States, <=50K
 Private,9, Never-married, Female,40, United-States, <=50K
 Private,9, Married-civ-spouse, Male,40, Mexico, <=50K
 Self-emp-inc,6, Married-civ-spouse, Male,30, United-States, <=50K
 Private,14, Married-civ-spouse, Male,50, United-States, <=50K
 Private,14, Never-married, Female,35, United-States, <=50K
 Private,10, Divorced, Male,53, United-States, <=50K
 Private,13, Never-married, Female,40, United-States, <=50K
 Self-emp-not-inc,9, Married-civ-spouse, Male,60, United-States, <=50K
 Private,13, Married-civ-spouse, Male,60, United-States, >50K
 Private,7, Separated, Female,20, United-States, <=50K
 Private,9, Married-civ-spouse, Male,50, United-States, <=50K
 Private,4, Married-spouse-absent, Male,50, Dominican-Republic, <=50K
 State-gov,13, Married-civ-spouse, Male,38, United-States, >50K
 Local-gov,4, Never-married, Female,40, United-States, <=50K
 Self-emp-not-inc,10, Married-civ-spouse, Male,40, United-States, <=50K
 Private,10, Divorced, Male,40, United-States, <=50K
 Self-emp-not-inc,10, Married-civ-spouse, Male,40, United-States, >50K
 Self-emp-not-inc,14, Never-married, Male,45, United-States, >50K
 Private,2, Married-civ-spouse, Male,85, Mexico, <=50K
 Private,9, Never-married, Male,30, United-States, <=50K
 Private,9, Never-married, Male,40, United-States, <=50K
 Private,10, Married-civ-spouse, Male,45, United-States, <=50K
 Private,6, Married-civ-spouse, Male,40, United-States, <=50K
 Private,14, Married-civ-spouse, Male,45, United-States, >50K
 Self-emp-not-inc,6, Never-married, Male,40, Greece, <=50K
 Self-emp-inc,9, Divorced, Male,50, United-States, <=50K
 Self-emp-inc,9, Married-civ-spouse, Male,40, United-States, <=50K
 Private,9, Married-civ-spouse, Male,40, United-States, <=50K
 State-gov,9, Never-married, Male,50, United-States, <=50K
 Local-gov,5, Never-married, Male,40, United-States, <=50K
 Private,13, Married-civ-spouse, Female,20, United-States, >50K
 Private,13, Never-married, Female,20, United-States, <=50K
 Private,9, Never-married, Male,30, United-States, <=50K
 Private,9, Never-married, Female,45, United-States, <=50K
 Private,10, Never-married, Female,40, United-States, <=50K
 Local-gov,12, Married-civ-spouse, Male,45, United-States, <=50K
 Private,13, Never-married, Female,50, United-States, <=50K
 Private,10, Never-married, Female,15, United-States, <=50K
 Private,10, Never-married, Male,30, United-States, <=50K
 Federal-gov,13, Married-civ-spouse, Male,42, United-States, >50K
 Private,10, Married-civ-spouse, Male,40, El-Salvador, <=50K
 Private,9, Married-civ-spouse, Male,45, United-States, <=50K
 Private,9, Married-civ-spouse, Female,40, United-States, <=50K
 Self-emp-not-inc,9, Married-civ-spouse, Male,50, United-States, <=50K
 Private,9, Married-civ-spouse, Female,20, United-States, <=50K
 Private,9, Married-civ-spouse, Male,40, United-States, <=50K
 Self-emp-not-inc,10, Married-civ-spouse, Male,24, United-States, <=50K
 Private,9, Married-civ-spouse, Male,50, United-States, <=50K
 Private,13, Never-married, Male,50, United-States, <=50K
 Private,11, Married-civ-spouse, Female,40, United-States, <=50K
 Self-emp-not-inc,9, Divorced, Male,55, United-States, >50K
 Private,10, Never-married, Female,40, United-States, <=50K
 Private,10, Never-married, Male,25, Greece, <=50K
 Private,9, Never-married, Male,50, United-States, <=50K
 Private,7, Never-married, Female,16, United-States, <=50K
 Local-gov,10, Married-civ-spouse, Female,44, United-States, <=50K
 Private,13, Never-married, Female,40, United-States, <=50K
 ?,7, Married-civ-spouse, Male,3, United-States, <=50K
 Private,9, Married-civ-spouse, Male,40, United-States, >50K
 Self-emp-inc,14, Married-civ-spouse, Male,40, United-States, <=50K
 Private,9, Divorced, Female,40, United-States, >50K
 Private,6, Separated, Female,40, United-States, <=50K
 ?,9, Separated, Female,20, United-States, <=50K
 Private,9, Married-civ-spouse, Male,60, United-States, <=50K
 Private,9, Married-civ-spouse, Male,40, United-States, <=50K
 Private,13, Separated, Male,45, United-States, <=50K
 Self-emp-not-inc,10, Married-civ-spouse, Male,38, United-States, >50K
 Private,14, Divorced, Male,40, United-States, <=50K
 Private,10, Never-married, Male,30, United-States, <=50K
 ?,10, Never-married, Female,35, United-States, <=50K
 Self-emp-not-inc,13, Married-civ-spouse, Male,50, United-States, >50K
 Private,10, Married-civ-spouse, Male,55, United-States, <=50K
 Private,10, Married-civ-spouse, Female,32, United-States, >50K
 Local-gov,9, Never-married, Male,40, United-States, <=50K
 Private,10, Married-civ-spouse, Male,40, United-States, <=50K
 Private,10, Divorced, Female,40, United-States, <=50K
 Private,13, Never-married, Female,40, United-States, <=50K
 Private,10, Married-spouse-absent, Female,16, United-States, >50K
 Private,10, Widowed, Male,35, United-States, >50K
 Private,9, Never-married, Male,55, United-States, <=50K
 Private,9, Married-civ-spouse, Male,40, United-States, <=50K
 Private,10, Divorced, Male,48, United-States, >50K
 Private,9, Married-civ-spouse, Female,30, United-States, >50K
 Private,6, Never-married, Male,40, United-States, <=50K
 Private,13, Married-civ-spouse, Male,55, United-States, >50K
 Private,13, Never-married, Male,50, United-States, >50K
 Private,5, Never-married, Female,40, United-States, <=50K
 Local-gov,10, Married-civ-spouse, Male,40, United-States, <=50K
 Self-emp-not-inc,13, Married-civ-spouse, Male,60, United-States, <=50K
 Private,13, Married-civ-spouse, Female,36, United-States, >50K
 Private,10, Never-married, Female,20, United-States, <=50K
 Private,7, Divorced, Female,35, United-States, <=50K
 Private,13, Never-married, Male,50, United-States, <=50K
 Private,13, Never-married, Male,45, United-States, <=50K
 Private,9, Never-married, Female,40, United-States, <=50K
 Private,10, Never-married, Female,40, United-States, <=50K
 Private,10, Married-civ-spouse, Female,37, United-States, >50K
 Private,9, Married-civ-spouse, Male,40, United-States, <=50K
 Private,11, Married-civ-spouse, Male,40, United-States, <=50K
 Private,2, Married-civ-spouse, Male,40, Mexico, <=50K
 Private,9, Married-civ-spouse, Female,40, United-States, <=50K
 Private,9, Never-married, Female,20, United-States, <=50K
 Private,9, Married-civ-spouse, Female,36, United-States, <=50K
 State-gov,10, Separated, Male,40, United-States, <=50K
 Private,9, Never-married, Female,28, ?, <=50K
 Self-emp-not-inc,9, Separated, Male,50, United-States, <=50K
 Self-emp-not-inc,13, Married-civ-spouse, Male,70, United-States, >50K
 Self-emp-not-inc,8, Divorced, Male,35, United-States, <=50K
 Private,11, Never-married, Male,40, United-States, <=50K
 Self-emp-inc,16, Married-civ-spouse, Male,60, Canada, >50K
 Private,9, Never-married, Male,40, United-States, <=50K
 Private,13, Never-married, Male,40, United-States, >50K
 Private,3, Married-civ-spouse, Male,40, Laos, <=50K
 Private,9, Married-civ-spouse, Male,16, United-States, <=50K
 Private,9, Divorced, Female,40, United-States, <=50K
 Private,9, Married-civ-spouse, Male,40, United-States, <=50K
 Private,3, Married-civ-spouse, Male,24, Mexico, <=50K
 Private,13, Married-civ-spouse, Male,45, United-States, <=50K
 ?,16, Married-civ-spouse, Male,50, United-States, >50K
 Private,9, Never-married, Male,35, United-States, <=50K
 Self-emp-inc,6, Never-married, Male,50, United-States, >50K
 Private,13, Married-civ-spouse, Male,50, Japan, >50K
 Local-gov,9, Divorced, Male,25, United-States, <=50K
 Private,9, Never-married, Male,40, United-States, <=50K
 ?,10, Never-married, Male,40, United-States, <=50K
 Private,13, Never-married, Female,40, United-States, <=50K
 Private,9, Married-civ-spouse, Male,50, United-States, >50K
 Private,13, Widowed, Female,40, United-States, <=50K
 Private,6, Divorced, Female,40, United-States, <=50K
 Private,10, Divorced, Male,40, United-States, <=50K
 Private,9, Married-civ-spouse, Male,40, United-States, <=50K
 Private,13, Never-married, Female,40, United-States, <=50K
 Private,5, Divorced, Female,50, United-States, <=50K
 Private,9, Never-married, Male,40, United-States, <=50K
 Private,9, Divorced, Female,35, United-States, <=50K
 Private,9, Married-civ-spouse, Male,40, United-States, <=50K
 Private,10, Never-married, Female,40, United-States, <=50K
 Private,7, Never-married, Male,60, United-States, <=50K
 Private,9, Married-civ-spouse, Male,60, Mexico, >50K
 Private,9, Divorced, Male,45, United-States, <=50K
 Private,9, Never-married, Male,40, United-States, <=50K
 Local-gov,7, Married-civ-spouse, Male,7, United-States, <=50K
 Private,6, Divorced, Female,42, United-States, <=50K
 Private,14, Married-civ-spouse, Female,50, United-States, >50K
 Private,9, Married-civ-spouse, Male,40, United-States, <=50K
 Private,12, Married-civ-spouse, Male,48, United-States, >50K
 Private,13, Married-civ-spouse, Male,40, ?, >50K
 Private,3, Married-civ-spouse, Male,40, Philippines, <=50K
 Private,13, Divorced, Male,45, United-States, >50K
 Private,11, Married-civ-spouse, Male,40, United-States, >50K
 Private,9, Never-married, Male,40, United-States, <=50K
 Private,13, Married-civ-spouse, Female,30, United-States, >50K
 Private,10, Married-civ-spouse, Male,40, United-States, >50K
 Private,13, Never-married, Male,45, United-States, <=50K
 Self-emp-inc,11, Divorced, Male,40, United-States, <=50K
 Private,9, Never-married, Male,40, United-States, <=50K
 ?,9, Widowed, Female,15, United-States, <=50K
 Private,9, Married-civ-spouse, Male,40, United-States, >50K
 Self-emp-not-inc,9, Married-civ-spouse, Male,50, United-States, >50K
 Private,10, Never-married, Male,40, United-States, <=50K
 Self-emp-not-inc,12, Married-civ-spouse, Male,50, United-States, <=50K
 Self-emp-not-inc,6, Divorced, Male,60, United-States, >50K
 Private,10, Widowed, Female,35, United-States, <=50K
 Local-gov,9, Married-civ-spouse, Male,60, United-States, <=50K
 Private,9, Married-civ-spouse, Male,40, United-States, <=50K
 Private,9, Married-civ-spouse, Male,60, United-States, >50K
 Private,9, Married-civ-spouse, Male,40, United-States, >50K
 Private,9, Married-civ-spouse, Male,40, United-States, <=50K
 Local-gov,10, Married-civ-spouse, Male,40, United-States, <=50K
 Private,10, Never-married, Female,40, United-States, <=50K
 Private,13, Married-spouse-absent, Female,40, United-States, <=50K
 Self-emp-not-inc,9, Married-civ-spouse, Male,50, United-States, >50K
 Self-emp-inc,13, Separated, Female,30, United-States, <=50K
 Private,12, Never-married, Female,60, United-States, >50K
 Private,13, Married-civ-spouse, Male,40, United-States, <=50K
 Local-gov,11, Never-married, Male,43, United-States, <=50K
 Self-emp-not-inc,13, Never-married, Male,20, United-States, >50K
 Private,9, Married-civ-spouse, Male,40, United-States, >50K
 Self-emp-not-inc,4, Married-civ-spouse, Male,75, United-States, <=50K
 Private,9, Married-civ-spouse, Male,60, Japan, <=50K
 ?,9, Widowed, Female,20, United-States, <=50K
 Private,11, Married-civ-spouse, Male,40, Mexico, <=50K
 Self-emp-not-inc,10, Never-married, Female,48, United-States, <=50K
 Self-emp-inc,9, Married-civ-spouse, Male,68, United-States, >50K
 Private,10, Never-married, Male,40, Poland, <=50K
 Private,10, Never-married, Female,30, Jamaica, <=50K
 Self-emp-not-inc,9, Married-civ-spouse, Male,55, United-States, >50K
 Private,9, Married-civ-spouse, Female,5, United-States, <=50K
 Private,13, Never-married, Male,40, United-States, <=50K
 Private,11, Never-married, Female,40, United-States, <=50K
 Private,9, Married-civ-spouse, Male,40, United-States, <=50K
 Private,9, Married-civ-spouse, Male,40, Greece, <=50K
 ?,9, Divorced, Male,10, United-States, <=50K
 Federal-gov,12, Divorced, Male,40, United-States, <=50K
 Private,6, Never-married, Female,40, United-States, <=50K
 Private,9, Divorced, Female,24, United-States, <=50K
 Self-emp-inc,9, Divorced, Male,42, United-States, <=50K
 Private,9, Divorced, Female,42, United-States, <=50K
 Private,9, Married-spouse-absent, Male,40, Mexico, <=50K
 Private,5, Divorced, Male,40, United-States, <=50K
 ?,6, Divorced, Female,16, ?, <=50K
 Private,12, Divorced, Female,32, United-States, <=50K
 Private,13, Married-civ-spouse, Male,55, United-States, <=50K
 Private,13, Married-civ-spouse, Male,40, United-States, <=50K
 State-gov,13, Never-married, Male,40, United-States, <=50K
 Self-emp-inc,13, Married-civ-spouse, Male,70, United-States, <=50K
 Self-emp-not-inc,9, Married-civ-spouse, Male,40, China, <=50K
 Local-gov,10, Married-civ-spouse, Male,50, United-States, >50K
 Private,10, Married-civ-spouse, Male,40, Mexico, <=50K
 Private,13, Never-married, Male,40, United-States, <=50K
 Private,9, Never-married, Male,50, United-States, <=50K
 Self-emp-not-inc,9, Married-civ-spouse, Male,98, United-States, <=50K
 Self-emp-not-inc,6, Married-civ-spouse, Male,8, United-States, <=50K
 Private,10, Divorced, Female,60, United-States, <=50K
 Local-gov,5, Married-civ-spouse, Male,40, United-States, <=50K
 Private,7, Widowed, Female,40, United-States, <=50K
 Private,10, Married-civ-spouse, Male,55, United-States, <=50K
 Private,13, Never-married, Male,40, United-States, <=50K
 Private,14, Never-married, Female,40, United-States, <=50K
 Private,9, Divorced, Male,60, United-States, <=50K
 Private,8, Never-married, Female,30, United-States, <=50K
 Self-emp-not-inc,11, Married-civ-spouse, Male,60, United-States, <=50K
 Private,10, Never-married, Male,40, United-States, <=50K
 Self-emp-not-inc,13, Married-civ-spouse, Female,70, United-States, >50K
 Private,10, Never-married, Female,30, United-States, <=50K
 Private,9, Married-civ-spouse, Male,80, United-States, >50K
 Private,5, Married-civ-spouse, Male,40, United-States, <=50K
